Modèle,Accuracy,Precision,Rappel
Arbre From Scratch,0.8975609756097561,0.9042553191489362,0.8762886597938144
Foret From Scratch,0.9073170731707317,0.90625,0.8969072164948454
Arbre Scikit-Learn,0.9121951219512195,0.9340659340659341,0.8762886597938144
Foret Scikit-Learn,0.9317073170731708,0.9560439560439561,0.8969072164948454
